Hash Function,Input Data,Hash Value,Compression Ratio,Throughput (Hashes/sec),Avalanche Effect (%),Sensitivity (Bits Changed),Entropy,Memory Usage (bytes),Hash Value Length (bits),Security Level,Parallelizability,Resistance to Length Extension,Energy Consumption,Side-channel Resistance,Efficiency (Time per Byte)
MD5,"Hello, world!",6cd3556deb0da54bca060b4c39479839,0.8125,1391145.6053067993,43.75,56,3.875,16.0,128,Moderate,Moderate,No,Unknown,Unknown,5.529477046086238e-08
SHA-1,"Hello, world!",943a702d06f34599aee1f8da8ef9f7296031d699,0.65,1429064.395229983,50.0,80,4.221928094887362,20.0,160,Moderate,Moderate,No,Unknown,Unknown,5.3827579204852766e-08
SHA-256,"Hello, world!",315f5bdb76d078c43b8ac0064e4a0164612b1fce77c869345bfc94c75894edd3,0.40625,1186171.9457013574,47.65625,122,4.875,32.0,256,High,Moderate,No,Unknown,Unknown,6.4849853515625e-08
SHA-512,"Hello, world!",c1527cd893c124773d811911970c8fe6e857d6df5dc9226bd8a160614c0cd963a4ddea2b94bb7d36021ef9d865d5cea294a82dd49a0bb269f51f6e7a57f79421,0.203125,853020.9477323571,49.609375,254,5.757659765557392,64.0,512,High,Moderate,Yes,Unknown,Unknown,9.017724257249098e-08
SHA3-256,"Hello, world!",f345a219da005ebe9c1a1eaad97bbf38a10c8473e41d0af7fb617caa0c6aa722,0.40625,628077.8676250374,50.0,128,4.875,32.0,256,High,Moderate,Yes,Unknown,Unknown,1.2247379009540264e-07
Blake2b,"Hello, world!",b07dc25cebd3ef164affe25aef0714f4a8000b7c8029e30ef0e9bd3a1e8067317218ba2b38fbc422cfe51c8e88b8e1fc65a1d81db7d8fe3b7d562e236cbf23b6,0.203125,957166.5905979004,47.65625,244,5.84375,64.0,512,High,Moderate,Yes,Unknown,Unknown,8.036540104792668e-08
MD5,The quick brown fox jumps over the lazy dog,9e107d9d372bb6826bd81d3542a419d6,2.6875,1418912.043301759,49.21875,63,4.0,16.0,128,Moderate,Moderate,No,Unknown,Unknown,1.638989115870276e-08
SHA-1,The quick brown fox jumps over the lazy dog,2fd4e1c67a2d28fced849ee1bb76e7391b93eb12,2.15,1502257.8796561605,46.875,75,4.221928094887362,20.0,160,Moderate,Moderate,No,Unknown,Unknown,1.548057378724564e-08
SHA-256,The quick brown fox jumps over the lazy dog,d7a8fbb307d7809469ca9abcb0082e4f8d5651e46d3cdb762d02d0bf37c9e592,1.34375,789887.758945386,55.078125,141,4.9375,32.0,256,High,Moderate,No,Unknown,Unknown,2.9441922209983648e-08
SHA-512,The quick brown fox jumps over the lazy dog,07e547d9586f6a73f73fbac0435ed76951218fb7d0c8d788a309d785436bbb642e93a252a954f23912547d1e8a3b5ed6e1bfd7097821233fa0538f3db854fee6,0.671875,1106968.5932963842,51.171875,262,5.613204882778696,64.0,512,High,Moderate,Yes,Unknown,Unknown,2.1008558051530706e-08
SHA3-256,The quick brown fox jumps over the lazy dog,69070dda01975c8c120c3aada1b282394e7f032fa9cf32f4cb2259a0897dfc04,1.34375,913791.7211328977,53.515625,137,5.0,32.0,256,High,Moderate,Yes,Unknown,Unknown,2.5449797164562138e-08
Blake2b,The quick brown fox jumps over the lazy dog,21a5d7eddcb481f5b7955b04a765ea98eada4fa66b1ec1df8a2d23460ea112514a9bbe97b1b6af3de92ffefcb45c7a4e5ef3fa38d985b28c853ce7524e4eafff,0.671875,996508.4343074365,47.8515625,245,5.800704882778696,64.0,512,High,Moderate,Yes,Unknown,Unknown,2.3337297661359922e-08
MD5,OpenAI creates and trains AI models.,22bb1ee93ba93920e02bb3399b0d7d6a,2.25,1409376.3440860214,47.65625,61,3.875,16.0,128,Moderate,Moderate,No,Unknown,Unknown,1.9709269205729167e-08
SHA-1,OpenAI creates and trains AI models.,243db53f64f7f1212fb8b07f796a4866d18751fc,1.8,1448809.6718480138,50.0,80,4.321928094887363,20.0,160,Moderate,Moderate,No,Unknown,Unknown,1.917282740275065e-08
SHA-256,OpenAI creates and trains AI models.,c757fa7771c815654a205c7e0149f44054707712dfde2df62876605fb0683862,1.125,1269846.8059339994,48.828125,125,4.9375,32.0,256,High,Moderate,No,Unknown,Unknown,2.187490463256836e-08
